device,policy,freq_khz,static,active,idle0,idle1
MT6897,4,400000,0,29.25,11.23,0
MT6897,4,500000,0,39.06,11.84,0
MT6897,4,600000,0,49.47,11.9,0
MT6897,4,700000,0,65.82,12.1,0
MT6897,4,800000,0,74.15,12.6,0
MT6897,4,900000,0,87.02,13.38,0
MT6897,4,1000000,0,100.83,14.52,0
MT6897,4,1100000,0,100.05,15.82,0
MT6897,4,1200000,0,121.01,18.25,0
MT6897,4,1300000,0,150.09,18.3,0
MT6897,4,1400000,0,223.43,19.5,0
MT6897,4,1500000,0,199.07,20.75,0
MT6897,4,1600000,0,209.55,21.62,0
MT6897,4,1700000,0,295.03,21.22,0
MT6897,4,1800000,0,319.53,20.61,0
MT6897,4,1900000,0,360.2,22.04,0
MT6897,4,2000000,0,384.4,21.22,0
MT6897,4,2100000,0,457.82,21.22,0
MT6897,4,2200000,0,500.01,21.57,0
MT6897,4,2300000,0,600.3,21.97,0
MT6897,4,2400000,0,670.14,20.7,0
MT6897,4,2500000,0,713.7,20.65,0
MT6897,4,2600000,0,725.46,20.9,0
MT6897,4,2660000,0,730.67,20.99,0
MT6897,4,2800000,0,732.42,21.99,0
MT6897,4,2850000,0,680.9,21.88,0
MT6897,4,2900000,0,699.43,22.59,0
MT6897,4,3000000,0,770.16,22.53,0
MT6897,4,3100000,0,773.6,23.32,0
MT6897,4,3200000,0,834.88,24.71,0
MT6897,7,400000,0,101.36,20.52,0
MT6897,7,500000,0,106.28,22.58,0
MT6897,7,600000,0,109.04,26.36,0
MT6897,7,700000,0,122.6,25.42,0
MT6897,7,800000,0,173.25,24.19,0
MT6897,7,900000,0,153.15,25.09,0
MT6897,7,1000000,0,173.16,25.39,0
MT6897,7,1100000,0,199.87,26.86,0
MT6897,7,1200000,0,217.21,28.56,0
MT6897,7,1300000,0,231.8,30.59,0
MT6897,7,1400000,0,233.98,30.16,0
MT6897,7,1500000,0,271.58,31.78,0
MT6897,7,1600000,0,278.6,32.65,0
MT6897,7,1700000,0,323.91,29.51,0
MT6897,7,1800000,0,376.93,30.7,0
MT6897,7,1900000,0,420.25,30.07,0
MT6897,7,2000000,0,487.31,29.89,0
MT6897,7,2100000,0,571.85,28.68,0
MT6897,7,2200000,0,500.23,30.0,0
MT6897,7,2300000,0,623.76,30.82,0
MT6897,7,2400000,0,628.35,31.01,0
MT6897,7,2500000,0,757.08,30.8,0
MT6897,7,2600000,0,844.37,31.21,0
MT6897,7,2700000,0,1172.63,30.59,0
MT6897,7,2800000,0,1155.18,29.72,0
MT6897,7,2900000,0,1349.02,34.16,0
MT6897,7,3000000,0,1350.29,32.44,0
MT6897,7,3050000,0,1290.29,30.12,0
MT6897,7,3100000,0,1200.61,31.2,0
MT6897,7,3200000,0,1244.75,32.06,0
MT6897,7,3350000,0,1300.78,36.92,0
