device,freq_khz,active,idle1,idle2
Tensor G5,0,0,0,0
Tensor G5,198000000,393.87,4.42,0
Tensor G5,253000000,488.89,4.97,0
Tensor G5,300000000,574.66,5.36,0
Tensor G5,396000000,750.38,5.34,0
Tensor G5,448000000,878.74,7.20,0
Tensor G5,512000000,1042.1,8.20,0
Tensor G5,576000000,1218.33,9.21,0
Tensor G5,633000000,1410.50,10.42,0
Tensor G5,691000000,1655.5,14.20,0
Tensor G5,748000000,1855.8,15.52,0
Tensor G5,806000000,2111.36,17.41,0
Tensor G5,864000000,2342.87,19.44,0
Tensor G5,921000000,2594.51,21.07,0
Tensor G5,998000000,3004.51,23.92,0
Tensor G5,1094000000,3517.46,27.60,0
